State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
IA,371473,6245,2850889.00,441931.00,726841,NaN,0,519211,NaN,0,393648,NaN,NaN,360764,NaN,NaN,599851,25,NaN,311447,40,13,162833,37,10,78674,49,13
ID,192305,4529,1239775.00,152585.00,448201,0,0,284181,0,0,231897,0,NaN,211310,0,NaN,317270,NaN,NaN,175866,NaN,17,85030,NaN,NaN,29774,NaN,15
IL,1382587,44719,11701469.00,2150200.00,2817739,0,NaN,2034826,NaN,NaN,1705429,19,NaN,1585079,42,29,2457804,200,113,1176033,251,76,600230,280,65,266969,366,45
IN,744213,22636,5117270.00,915403.00,1567974,0,0,1123556,NaN,NaN,852163,NaN,NaN,814906,NaN,10,1285037,56,55,636737,104,59,317937,131,46,131069,166,35
KS,314417,5116,2328849.00,292537.00,700250,0,0,476935,NaN,0,371605,0,NaN,331246,0,NaN,535053,10,14,272236,17,17,137573,18,11,65678,20,NaN
KY,459288,11373,3654599.00,486544.00,1002871,0,0,713788,0,NaN,553681,NaN,NaN,549093,NaN,NaN,880890,18,32,447876,30,39,220820,40,35,81868,57,28
LA,471663,12829,3091340.00,381540.00,1087630,NaN,0,745828,NaN,0,632970,NaN,NaN,542194,NaN,10,883222,57,40,442534,81,36,216431,102,23,82057,107,NaN
MA,707131,16852,8067293.00,1790877.00,1352799,0,0,1193244,NaN,NaN,932753,NaN,0,831850,12,NaN,1407593,67,19,673305,103,23,336504,167,16,159523,280,20
MD,459995,11006,6163129.00,1303513.00,1334687,0,0,924743,NaN,NaN,815155,12,NaN,749963,26,NaN,1226685,126,33,561582,121,25,278421,178,22,119393,207,24
ME,67880,6033,1481269.00,280730.00,248842,0,0,187477,0,0,160399,NaN,0,157945,NaN,0,302917,NaN,NaN,169079,NaN,NaN,82386,NaN,NaN,33800,NaN,NaN
MI,997299,38250,8714009.00,1497820.00,2143933,0,NaN,1642153,0,NaN,1211485,NaN,NaN,1178655,NaN,10,2041521,41,102,1037580,71,92,514685,70,82,213136,108,56
