State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
GA,1101487,40514,6386954.00,2436309.00,2503664,0,NaN,1745979,NaN,NaN,1414834,10,13,1379326,26,18,1993652,105,112,926001,195,104,439884,222,71,151069,244,60
HI,32882,2994,1239820.00,522030.00,299867,0,0,193859,0,0,181734,0,0,164618,0,NaN,262063,0,NaN,152092,0,NaN,74688,0,NaN,41668,0,NaN
IA,365228,13433,2408958.00,841054.00,726841,NaN,0,519211,NaN,NaN,393648,NaN,NaN,360764,NaN,NaN,599851,67,17,311447,94,28,162833,98,25,78674,145,23
ID,187776,6879,1087190.00,320487.00,448201,0,0,284181,0,0,231897,0,0,211310,0,NaN,317270,0,14,175866,NaN,19,85030,NaN,22,29774,11,11
IL,1337868,89757,9551269.00,3477850.00,2817739,NaN,NaN,2034826,NaN,NaN,1705429,46,20,1585079,103,41,2457804,460,197,1176033,619,185,600230,678,170,266969,906,138
IN,721577,32405,4201867.00,1361356.00,1567974,NaN,NaN,1123556,NaN,NaN,852163,NaN,NaN,814906,15,18,1285037,98,91,636737,185,95,317937,277,90,131069,378,54
KS,309301,6929,2036312.00,724958.00,700250,0,0,476935,0,NaN,371605,NaN,NaN,331246,NaN,NaN,535053,26,23,272236,12,16,137573,22,17,65678,30,17
KY,447915,15977,3168055.00,1025110.00,1002871,0,NaN,713788,0,NaN,553681,NaN,NaN,549093,NaN,10,880890,27,42,447876,56,59,220820,52,72,81868,85,39
LA,458834,13365,2709800.00,706601.00,1087630,NaN,0,745828,NaN,NaN,632970,11,NaN,542194,28,16,883222,125,48,442534,185,54,216431,197,25,82057,193,20
MA,690279,51940,6276416.00,2591230.00,1352799,0,NaN,1193244,NaN,NaN,932753,NaN,NaN,831850,33,14,1407593,253,52,673305,480,34,336504,809,41,159523,1452,45
MD,448989,34604,4859616.00,1977446.00,1334687,NaN,0,924743,NaN,NaN,815155,19,10,749963,54,20,1226685,228,103,561582,306,70,278421,411,76,119393,516,52
ME,61847,10656,1200539.00,485503.00,248842,0,0,187477,0,0,160399,0,NaN,157945,NaN,NaN,302917,NaN,12,169079,NaN,16,82386,14,17,33800,16,12
